Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Iran,B,17,FW,Mehdi Taremi,1992/07/18,25,25,11,Al-Gharafa,1
Iran,B,18,FW,Alireza Jahanbakhsh,1993/08/11,24,37,4,AZ,1
Iran,B,19,DF,Majid Hosseini,1996/06/20,21,1,0,Esteghlal,1
Iran,B,20,FW,Sardar Azmoun,1995/01/01,23,32,23,Rubin Kazan,1
Iran,B,21,FW,Ashkan Dejagah,1986/07/05,31,45,9,Nottingham Forest,1
Iran,B,22,GK,Amir Abedzadeh,1993/04/26,25,1,0,Marítimo,1
Iran,B,23,DF,Ramin Rezaeian,1990/03/21,28,27,2,Oostende,1
Morocco,B,1,GK,Yassine Bounou,1991/04/05,27,11,0,Girona,1
Morocco,B,2,DF,Achraf Hakimi,1998/11/04,19,9,1,Real Madrid,1
Morocco,B,3,DF,Hamza Mendyl,1997/10/21,20,13,0,Lille,1
Morocco,B,4,DF,Manuel da Costa,1986/05/06,32,27,1,İstanbul Başakşehir,1
Morocco,B,5,DF,Medhi Benatia (captain),1987/04/17,31,56,2,Juventus,1
Morocco,B,6,DF,Romain Saïss,1990/03/26,28,23,1,Wolverhampton Wanderers,1
Morocco,B,7,MF,Hakim Ziyech,1993/03/19,25,17,8,Ajax,1
Morocco,B,8,MF,Karim El Ahmadi,1985/01/27,33,50,1,Feyenoord,1
Morocco,B,9,FW,Ayoub El Kaabi,1993/06/25,24,9,11,RS Berkane,1
Morocco,B,10,MF,Younès Belhanda,1990/02/25,28,46,4,Galatasaray,1
Morocco,B,11,MF,Fayçal Fajr,1988/08/01,29,23,2,Getafe,1
Morocco,B,12,GK,Munir Mohamedi,1989/05/10,29,26,0,Numancia,1
Morocco,B,13,FW,Khalid Boutaïb,1987/04/24,31,17,7,Yeni Malatyaspor,1
Morocco,B,14,MF,Mbark Boussoufa,1984/08/15,33,58,7,Al-Jazira,1
Morocco,B,15,MF,Youssef Aït Bennasser,1996/07/07,21,13,0,Caen,1
Morocco,B,16,MF,Nordin Amrabat,1987/03/31,31,43,4,Leganés,1
Morocco,B,17,DF,Nabil Dirar,1986/02/25,32,34,3,Fenerbahçe,1
Morocco,B,18,MF,Amine Harit,1997/06/18,20,5,0,Schalke 04,1
Morocco,B,19,FW,Youssef En-Nesyri,1997/06/01,21,15,1,Málaga,1
Morocco,B,20,FW,Aziz Bouhaddouz,1987/03/30,31,14,3,FC St. Pauli,1
Morocco,B,21,MF,Sofyan Amrabat,1996/08/21,21,5,0,Feyenoord,1
Morocco,B,22,GK,Ahmed Reda Tagnaouti,1996/04/05,22,2,0,IR Tanger,1
Morocco,B,23,MF,Mehdi Carcela,1989/07/01,28,20,1,Standard Liège,1
Portugal,B,1,GK,Rui Patrício,1988/02/15,30,68,0,Sporting CP,1
Portugal,B,2,DF,Bruno Alves,1981/11/27,36,95,11,Rangers,1
Portugal,B,3,DF,Pepe,1983/02/26,35,94,5,Beşiktaş,1
Portugal,B,4,MF,Manuel Fernandes,1986/02/05,32,14,3,Lokomotiv Moscow,1
Portugal,B,5,DF,Raphaël Guerreiro,1993/12/22,24,23,2,Borussia Dortmund,1
Portugal,B,6,DF,José Fonte,1983/12/22,34,30,0,Dalian Yifang,1
Portugal,B,7,FW,Cristiano Ronaldo (captain),1985/02/05,33,149,81,Real Madrid,1
Portugal,B,8,MF,João Moutinho,1986/09/08,31,109,7,Monaco,1
Portugal,B,9,FW,André Silva,1995/11/06,22,22,12,Milan,1
Portugal,B,10,MF,João Mário,1993/01/19,25,35,2,West Ham United,1
Portugal,B,11,MF,Bernardo Silva,1994/08/10,23,24,2,Manchester City,1
Portugal,B,12,GK,Anthony Lopes,1990/10/01,27,7,0,Lyon,1
Portugal,B,13,DF,Rúben Dias,1997/05/14,21,1,0,Benfica,1
Portugal,B,14,MF,William Carvalho,1992/04/07,26,42,2,Sporting CP,1
Portugal,B,15,DF,Ricardo Pereira,1993/10/06,24,4,0,Porto,1
Portugal,B,16,MF,Bruno Fernandes,1994/09/08,23,5,0,Sporting CP,1
Portugal,B,17,FW,Gonçalo Guedes,1996/11/29,21,9,1,Valencia,1
Portugal,B,18,FW,Gelson Martins,1995/05/11,23,18,0,Sporting CP,1
Portugal,B,19,DF,Mário Rui,1991/05/27,27,3,0,Napoli,1
Portugal,B,20,FW,Ricardo Quaresma,1983/09/26,34,76,9,Beşiktaş,1
Portugal,B,21,DF,Cédric,1991/08/31,26,28,1,Southampton,1
Portugal,B,22,GK,Beto,1982/05/01,36,14,0,Göztepe,1
Portugal,B,23,MF,Adrien Silva,1989/03/15,29,22,1,Leicester City,1
Spain,B,1,GK,David de Gea,1990/11/07,27,28,0,Manchester United,1
Spain,B,2,DF,Dani Carvajal,1992/01/11,26,15,0,Real Madrid,1
Spain,B,3,DF,Gerard Piqué,1987/02/02,31,97,5,Barcelona,1
Spain,B,4,DF,Nacho,1990/01/18,28,16,0,Real Madrid,1
Spain,B,5,MF,Sergio Busquets,1988/07/16,29,102,2,Barcelona,1
Spain,B,6,MF,Andrés Iniesta,1984/05/11,34,126,14,Barcelona,1
Spain,B,7,MF,Saúl,1994/11/21,23,10,0,Atlético Madrid,1
Spain,B,8,MF,Koke,1992/01/08,26,39,0,Atlético Madrid,1
Spain,B,9,FW,Rodrigo,1991/03/06,27,5,2,Valencia,1
Spain,B,10,MF,Thiago,1991/04/11,27,28,2,Bayern Munich,1
Spain,B,11,FW,Lucas Vázquez,1991/07/01,26,6,0,Real Madrid,1
Spain,B,12,DF,Álvaro Odriozola,1995/12/14,22,3,1,Real Sociedad,1
Spain,B,13,GK,Kepa Arrizabalaga,1994/10/03,23,1,0,Athletic Bilbao,1
Spain,B,14,DF,César Azpilicueta,1989/08/28,28,22,0,Chelsea,1
Spain,B,15,DF,Sergio Ramos (captain),1986/03/30,32,151,13,Real Madrid,1
Spain,B,16,DF,Nacho Monreal,1986/02/26,32,22,1,Arsenal,1
Spain,B,17,FW,Iago Aspas,1987/08/01,30,9,4,Celta Vigo,1
Spain,B,18,DF,Jordi Alba,1989/03/21,29,61,8,Barcelona,1
Spain,B,19,FW,Diego Costa,1988/10/07,29,19,7,Atlético Madrid,1
Spain,B,20,MF,Marco Asensio,1996/01/21,22,11,0,Real Madrid,1
Spain,B,21,FW,David Silva,1986/01/08,32,120,35,Manchester City,1
Spain,B,22,MF,Isco,1992/04/21,26,27,10,Real Madrid,1
Spain,B,23,GK,Pepe Reina,1982/08/31,35,36,0,Napoli,1
Australia,C,1,GK,Mathew Ryan,1992/04/08,26,43,0,Brighton & Hove Albion,1
Australia,C,2,DF,Milos Degenek,1994/04/28,24,18,0,Yokohama F. Marinos,1
Australia,C,3,DF,James Meredith,1988/04/05,30,2,0,Millwall,1
Australia,C,4,FW,Tim Cahill,1979/12/06,38,105,50,Millwall,1
Australia,C,5,DF,Mark Milligan,1985/08/04,32,70,6,Al-Ahli,1
Australia,C,6,DF,Matthew Jurman,1989/12/08,28,4,0,Suwon Samsung Bluewings,1
Australia,C,7,FW,Mathew Leckie,1991/02/04,27,52,8,Hertha BSC,1
Australia,C,8,MF,Massimo Luongo,1992/09/25,25,35,5,Queens Park Rangers,1
Australia,C,9,FW,Tomi Juric,1991/07/22,26,34,8,Luzern,1
Australia,C,10,FW,Robbie Kruse,1988/10/05,29,63,5,VfL Bochum,1
Australia,C,11,FW,Andrew Nabbout,1992/12/17,25,3,1,Urawa Red Diamonds,1
Australia,C,12,GK,Brad Jones,1982/03/19,36,5,0,Feyenoord,1
Australia,C,13,MF,Aaron Mooy,1990/09/15,27,33,5,Huddersfield Town,1
Australia,C,14,FW,Jamie Maclaren,1993/07/29,24,6,0,Hibernian,1
Australia,C,15,MF,Mile Jedinak (captain),1984/08/03,33,75,18,Aston Villa,1
Australia,C,16,DF,Aziz Behich,1990/12/16,27,22,2,Bursaspor,1
Australia,C,17,FW,Daniel Arzani,1999/01/04,19,1,0,Melbourne City,1
Australia,C,18,GK,Danny Vukovic,1985/03/27,33,1,0,Genk,1
Australia,C,19,DF,Josh Risdon,1992/07/27,25,7,0,Western Sydney Wanderers,1
Australia,C,20,DF,Trent Sainsbury,1992/01/05,26,34,3,Grasshoppers,1
Australia,C,21,FW,Dimitri Petratos,1992/11/10,25,2,0,Newcastle Jets,1
Australia,C,22,MF,Jackson Irvine,1993/03/07,25,18,2,Hull City,1
Australia,C,23,MF,Tom Rogic,1992/12/16,25,36,7,Celtic,1
Denmark,C,1,GK,Kasper Schmeichel,1986/11/05,31,34,0,Leicester City,1
Denmark,C,2,MF,Michael Krohn-Dehli,1983/06/06,34,58,6,Deportivo La Coruña,1
Denmark,C,3,DF,Jannik Vestergaard,1992/08/03,25,16,1,Borussia Mönchengladbach,1
Denmark,C,4,DF,Simon Kjær (captain),1989/03/26,29,77,3,Sevilla,1
Denmark,C,5,DF,Jonas Knudsen,1992/09/16,25,3,0,Ipswich Town,1
Denmark,C,6,DF,Andreas Christensen,1996/04/10,22,15,1,Chelsea,1
Denmark,C,7,MF,William Kvist,1985/02/24,33,79,2,Copenhagen,1
Denmark,C,8,MF,Thomas Delaney,1991/09/03,26,26,4,Werder Bremen,1
Denmark,C,9,FW,Nicolai Jørgensen,1991/01/15,27,30,8,Feyenoord,1
Denmark,C,10,MF,Christian Eriksen,1992/02/14,26,77,21,Tottenham Hotspur,1
Denmark,C,11,FW,Martin Braithwaite,1991/06/05,27,19,1,Bordeaux,1
Denmark,C,12,FW,Kasper Dolberg,1997/10/06,20,5,1,Ajax,1
Denmark,C,13,DF,Mathias Jørgensen,1990/04/23,28,12,0,Huddersfield Town,1
Denmark,C,14,DF,Henrik Dalsgaard,1989/07/27,28,10,0,Brentford,1
Denmark,C,15,FW,Viktor Fischer,1994/06/09,23,18,3,Copenhagen,1
Denmark,C,16,GK,Jonas Lössl,1989/02/01,29,1,0,Huddersfield Town,1
Denmark,C,17,DF,Jens Stryger Larsen,1991/02/21,27,12,1,Udinese,1
Denmark,C,18,MF,Lukas Lerager,1993/07/12,24,3,0,Bordeaux,1
Denmark,C,19,MF,Lasse Schöne,1986/05/27,32,35,3,Ajax,1
Denmark,C,20,FW,Yussuf Poulsen,1994/06/15,23,27,3,RB Leipzig,1
Denmark,C,21,FW,Andreas Cornelius,1993/03/16,25,18,4,Atalanta,1
Denmark,C,22,GK,Frederik Rønnow,1992/08/04,25,6,0,Brøndby,1
Denmark,C,23,FW,Pione Sisto,1995/02/04,23,13,1,Celta Vigo,1
France,C,1,GK,Hugo Lloris (captain),1986/12/26,31,97,0,Tottenham Hotspur,1
France,C,2,DF,Benjamin Pavard,1996/03/28,22,5,0,VfB Stuttgart,1
France,C,3,DF,Presnel Kimpembe,1995/08/13,22,2,0,Paris Saint-Germain,1
France,C,4,DF,Raphaël Varane,1993/04/25,25,41,2,Real Madrid,1
France,C,5,DF,Samuel Umtiti,1993/11/14,24,18,2,Barcelona,1
France,C,6,MF,Paul Pogba,1993/03/15,25,53,9,Manchester United,1
France,C,7,FW,Antoine Griezmann,1991/03/21,27,53,20,Atlético Madrid,1
France,C,8,FW,Thomas Lemar,1995/11/12,22,11,3,Monaco,1
France,C,9,FW,Olivier Giroud,1986/09/30,31,73,31,Chelsea,1
France,C,10,FW,Kylian Mbappé,1998/12/20,19,14,3,Paris Saint-Germain,1
France,C,11,FW,Ousmane Dembélé,1997/05/15,21,11,2,Barcelona,1
France,C,12,MF,Corentin Tolisso,1994/08/03,23,8,0,Bayern Munich,1
France,C,13,MF,"N'Golo Kanté",1991/03/29,27,23,1,Chelsea,1
France,C,14,MF,Blaise Matuidi,1987/04/09,31,66,9,Juventus,1
France,C,15,MF,Steven Nzonzi,1988/12/15,29,4,0,Sevilla,1
France,C,16,GK,Steve Mandanda,1985/03/28,33,27,0,Marseille,1
France,C,17,DF,Adil Rami,1985/12/27,32,35,1,Marseille,1
France,C,18,FW,Nabil Fekir,1993/07/18,24,11,2,Lyon,1
France,C,19,DF,Djibril Sidibé,1992/07/29,25,16,1,Monaco,1
France,C,20,FW,Florian Thauvin,1993/01/26,25,4,0,Marseille,1
France,C,21,DF,Lucas Hernández,1996/02/14,22,4,0,Atlético Madrid,1
France,C,22,DF,Benjamin Mendy,1994/07/17,23,6,0,Manchester City,1
France,C,23,GK,Alphonse Areola,1993/02/27,25,0,0,Paris Saint-Germain,1
Peru,C,1,GK,Pedro Gallese,1990/02/23,28,37,0,Veracruz,1
Peru,C,2,DF,Alberto Rodríguez,1984/03/31,34,58,0,Atlético Junior,1
Peru,C,3,DF,Aldo Corzo,1989/05/20,29,25,0,Universitario,1
Peru,C,4,DF,Anderson Santamaría,1992/01/10,26,3,0,Puebla,1
Peru,C,5,DF,Miguel Araujo,1994/10/24,23,7,0,Alianza Lima,1
Peru,C,6,DF,Miguel Trauco,1992/08/25,25,26,0,Flamengo,1
Peru,C,7,MF,Paolo Hurtado,1990/07/27,27,31,3,Vitória de Guimarães,1
Peru,C,8,MF,Christian Cueva,1991/11/23,26,43,8,São Paulo,1
Peru,C,9,FW,Paolo Guerrero (captain),1984/01/01,34,87,34,Flamengo,1
Peru,C,10,FW,Jefferson Farfán,1984/10/26,33,83,25,Lokomotiv Moscow,1
Peru,C,11,FW,Raúl Ruidíaz,1990/07/25,27,30,4,Morelia,1
Peru,C,12,GK,Carlos Cáceda,1991/09/27,26,4,0,Deportivo Municipal,1
Peru,C,13,MF,Renato Tapia,1995/07/28,22,22,1,Feyenoord,1
Peru,C,14,MF,Andy Polo,1994/09/29,23,16,1,Portland Timbers,1
Peru,C,15,DF,Christian Ramos,1988/11/04,29,65,3,Veracruz,1
Peru,C,16,MF,Wilder Cartagena,1994/09/23,23,3,0,Veracruz,1
Peru,C,17,DF,Luis Advíncula,1990/03/02,28,64,0,Lobos BUAP,1
Peru,C,18,FW,André Carrillo,1991/06/14,26,44,5,Watford,1
Peru,C,19,MF,Yoshimar Yotún,1990/04/07,28,72,2,Orlando City,1
Peru,C,20,FW,Edison Flores,1994/05/14,24,28,9,AaB,1
Peru,C,21,GK,José Carvallo,1986/03/01,32,6,0,UTC,1
Peru,C,22,DF,Nilson Loyola,1994/10/26,23,3,0,Melgar,1
Peru,C,23,MF,Pedro Aquino,1995/04/13,23,12,0,Lobos BUAP,1
Argentina,D,1,GK,Nahuel Guzmán,1986/02/10,32,6,0,UANL,1
Argentina,D,2,DF,Gabriel Mercado,1987/03/18,31,20,3,Sevilla,1
Argentina,D,3,DF,Nicolás Tagliafico,1992/08/31,25,4,0,Ajax,1
Argentina,D,4,DF,Cristian Ansaldi,1986/09/20,31,5,0,Torino,1
Argentina,D,5,MF,Lucas Biglia,1986/01/30,32,57,1,Milan,1
Argentina,D,6,DF,Federico Fazio,1987/03/17,31,9,1,Roma,1
Argentina,D,7,MF,Éver Banega,1988/06/29,29,62,6,Sevilla,1
Argentina,D,8,DF,Marcos Acuña,1991/10/28,26,10,0,Sporting CP,1
Argentina,D,9,FW,Gonzalo Higuaín,1987/12/10,30,71,31,Juventus,1
Argentina,D,10,FW,Lionel Messi (captain),1987/06/24,30,124,64,Barcelona,1
Argentina,D,11,MF,Ángel Di María,1988/02/14,30,94,19,Paris Saint-Germain,1
Argentina,D,12,GK,Franco Armani,1986/10/16,31,0,0,River Plate,1
Argentina,D,13,MF,Maximiliano Meza,1992/12/15,25,2,0,Independiente,1
Argentina,D,14,DF,Javier Mascherano,1984/06/08,33,143,3,Hebei China Fortune,1
Argentina,D,15,MF,Manuel Lanzini,1993/02/15,25,4,1,West Ham United,1
Argentina,D,16,DF,Marcos Rojo,1990/03/20,28,56,2,Manchester United,1
Argentina,D,17,DF,Nicolás Otamendi,1988/02/12,30,54,4,Manchester City,1
Argentina,D,18,DF,Eduardo Salvio,1990/07/13,27,9,0,Benfica,1
Argentina,D,19,FW,Sergio Agüero,1988/06/02,30,85,37,Manchester City,1
Argentina,D,20,MF,Giovani Lo Celso,1996/04/09,22,5,0,Paris Saint-Germain,1
Argentina,D,21,FW,Paulo Dybala,1993/11/15,24,12,0,Juventus,1
Argentina,D,22,MF,Cristian Pavón,1996/01/21,22,5,0,Boca Juniors,1
Argentina,D,23,GK,Willy Caballero,1981/09/28,36,3,0,Chelsea,1
Croatia,D,1,GK,Dominik Livaković,1995/01/09,23,1,0,Dinamo Zagreb,1
Croatia,D,2,DF,Šime Vrsaljko,1992/01/10,26,35,0,Atlético Madrid,1
Croatia,D,3,DF,Ivan Strinić,1987/07/17,30,42,0,Sampdoria,1
Croatia,D,4,FW,Ivan Perišić,1989/02/02,29,65,17,Inter Milan,1
Croatia,D,5,DF,Vedran Ćorluka,1986/02/05,32,98,4,Lokomotiv Moscow,1
Croatia,D,6,DF,Dejan Lovren,1989/07/05,28,38,2,Liverpool,1
Croatia,D,7,MF,Ivan Rakitić,1988/03/10,30,91,14,Barcelona,1
Croatia,D,8,MF,Mateo Kovačić,1994/05/06,24,40,1,Real Madrid,1
Croatia,D,9,FW,Andrej Kramarić,1991/06/19,26,30,8,1899 Hoffenheim,1
Croatia,D,10,MF,Luka Modrić (captain),1985/09/09,32,105,12,Real Madrid,1
Croatia,D,11,MF,Marcelo Brozović,1992/11/16,25,34,6,Inter Milan,1
Croatia,D,12,GK,Lovre Kalinić,1990/04/03,28,10,0,Gent,1
Croatia,D,13,DF,Tin Jedvaj,1995/11/28,22,11,0,Bayer Leverkusen,1
Croatia,D,14,MF,Filip Bradarić,1992/01/11,26,4,0,Rijeka,1
Croatia,D,15,DF,Duje Ćaleta-Car,1996/09/17,21,1,0,Red Bull Salzburg,1
Croatia,D,16,FW,Nikola Kalinić,1988/01/05,30,41,15,Milan,1
Croatia,D,17,FW,Mario Mandžukić,1986/05/21,32,82,30,Juventus,1
