Name,Overall
Sergio Asenjo,84
Juan Mata,84
M. Benatia,84
D. Payet,84
Falcao,84
L. Koscielny,84
G. Cahill,84
Dani Alves,84
A. Gómez,84
Aduriz,84
K. Mbappé,83
O. Dembélé,83
N. Keïta,83
J. Giménez,83
G. Rulli,83
T. Lemar,83
João Mário,83
N. Süle,83
Ederson,83
Fabinho,83
M. Salah,83
A. Belotti,83
E. Forsberg,83
Marquinhos,83
William Carvalho,83
S. Umtiti,83
R. Mahrez,83
V. van Dijk,83
Roberto Firmino,83
Danilo Pereira,83
Vitolo,83
A. Lopes,83
S. de Vrij,83
M. Perin,83
J. Matip,83
I. Gueye,83
Iago Aspas,83
N. Otamendi,83
N. Matić,83
J. Pastore,83
Parejo,83
S. Kagawa,83
G. Bonaventura,83
B. Dost,83
K. Walker,83
Oscar,83
S. N'Zonzi,83
M. Musacchio,83
O. Toprak,83
José Callejón,83
Adrien Silva,83
S. Giovinco,83
N. Gaitán,83
M. Mandžukić,83
A. Lallana,83
B. Höwedes,83
E. Banega,83
Rui Patrício,83
Y. Sommer,83
M. Schneiderlin,83
Jonas,83
K. Gameiro,83
L. Piszczek,83
E. Garay,83
A. Valencia,83
K. Schmeichel,83
M. Dembélé,83
Borja Valero,83
L. Perrin,83
L. Biglia,83
Juanfran,83
Diego López,83
Santi Cazorla,83
J. Mascherano,83
W. Sneijder,83
Nani,83
D. De Rossi,83
José Reina,83
Quaresma,83
Y. Touré,83
Casillas,83
G. Donnarumma,82
L. Sané,82
T. Bakayoko,82
C. Tolisso,82
I. Slimani,82
N. Fekir,82
J. Seri,82
K. Baldé Diao,82
J. Tah,82
F. Bernardeschi,82
T. Werner,82
André Gomes,82
A. Martial,82
L. Goretzka,82
Q. Promes,82
Lucas Vázquez,82
Saúl,82
Felipe,82
C. Bacca,82
F. Vázquez,82
M. Kovačić,82
Sergio Rico,82
Manu Trigueros,82
A. Rüdiger,82
F. Thauvin,82
S. Savić,82
Iñigo Martínez,82
Roque Mesa,82
A. Florenzi,82
D. Klaassen,82
K. Bellarabi,82
R. Sterling,82
Suso,82
Deulofeu,82
E. Dier,82
M. Rojo,82
Lucas,82
H. Son,82
F. Acerbi,82
G. Xhaka,82
Jonathan Viera,82
Pizzi,82
Willian José,82
O. Baumann,82
G. Medel,82
Víctor Ruíz,82
X. Shaqiri,82
J. Cuadrado,82
C. Immobile,82
Douglas Costa,82
N. Clyne,82
Iborra,82
K. Trapp,82
V. Wanyama,82
Taison,82
Marlos,82
L. Stindl,82
M. Balotelli,82
A. Ramsey,82
W. Szczęsny,82
G. Sigurðsson,82
Y. Brahimi,82
M. Arnautović,82
J. Henderson,82
M. Kruse,82
O. Karnezis,82
L. Fejsa,82
F. Muslera,82
V. Ćorluka,82
G. Wijnaldum,82
F. Fazio,82
O. Giroud,82
B. Ivanović,82
J. Hernández,82
Beñat,82
L. Bender,82
A. Witsel,82
C. Bravo,82
A. Begović,82
Naldo,82
D. Sturridge,82
D. Rose,82
C. Vela,82
E. Viviano,82
G. Castro,82
S. Nasri,82
A. Williams,82
S. Mandanda,82
L. Baines,82
A. Consigli,82
João Moutinho,82
B. Costil,82
Raúl Albiol,82
J. Hart,82
M. Gómez,82
Raffael,82
A. Turan,82
Fernandinho,82
David Villa,82
S. Lichtsteiner,82
R. Jarstein,82
Gabriel Jesus,81
Nélson Semedo,81
Gelson Martins,81
Malcom,81
J. Weigl,81
D. Sánchez,81
A. Kramarić,81
M. Brozović,81
Williams,81
Dani García,81
A. Christensen,81
J. Kimmich,81
Bruma,81
D. Berardi,81
M. Sanson,81
A. Rabiot,81
R. Guerreiro,81
J. Vardy,81
H. Ziyech,81
M. Keane,81
Jorginho,81
Héctor Bellerín,81
J. Butland,81
S. Zaza,81
T. Meunier,81
Felipe Anderson,81
Rafinha,81
Nacho Fernández,81
J. Cillessen,81
Sergi Roberto,81
W. Ben Yedder,81
Lucas Pérez,81
R. Barkley,81
C. Bakambu,81
W. Zaha,81
Bartra,81
S. Aurier,81
S. Coates,81
G. Krychowiak,81
K. Kampl,81
D. Lovren,81
A. Yarmolenko,81
Y. Belhanda,81
Mário Fernandes,81
R. Rodríguez,81
J. Corona,81
Mario Gaspar,81
Marcos Alonso,81
M. Götze,81
L. Hrádecký,81
Illarramendi,81
De Marcos,81
C. Smalling,81
Iturraspe,81
J. Wilshere,81
S. Rudy,81
M. Lanzini,81
R. Boudebouz,81
Camacho,81
Paulinho,81
N. Kalinić,81
Giuliano,81
C. Benteke,81
D. Perotti,81
M. Parolo,81
K. Mitroglou,81
M. Sakho,81
A. Rami,81
S. Jovetić,81
S. Coleman,81
S. Kjær,81
Adán,81
M. Valbuena,81
S. Mignolet,81
D. Astori,81
K. Mirallas,81
Raúl García,81
M. Škrtel,81
T. Heaton,81
H. Ben Arfa,81
Dante,81
A. Gignac,81
Gabi,81
G. Rodríguez,81
D. Srna,81
B. Schweinsteiger,81
C. Carrasso,81
Moyá,81
W. Rooney,81
P. Mertesacker,81
T. Motta,81
Fernando Torres,81
S. Eto'o,81
M. Rashford,80
S. Milinković-Savić,80
Y. Tielemans,80
Jemerson,80
N. Bentaleb,80
Alisson,80
Alex Telles,80
J. Brandt,80
K. Demirbay,80
D. Rugani,80
Samu Castillejo,80
P. Zieliński,80
Ricardo Pereira,80
Grimaldo,80
Fred,80
J. Hector,80
E. Can,80
S. Kolašinac,80
Arrizabalaga,80
A. Pléa,80
T. Stepanenko,80
O. Shatov,80
Leo Baptistao,80
M. Nastasić,80
Denis Suárez,80
M. Batshuayi,80
J. Brooks,80
Eric Botteghin,80
L. Karius,80
T. Hazard,80
V. Germain,80
L. Kurzawa,80
J. Iličić,80
K. Volland,80
Allan,80
P. Hernández,80
D. Tadić,80
L. Muriel,80
Pablo Sarabia,80
A. Oxlade-Chamberlain,80
J. Guilavogui,80
O. Özyakup,80
Y. Rakitskyi,80
Sergi Enrich,80
Neto,80
Hugo Mallo,80
D. Didavi,80
R. Soriano,80
A. Schürrle,80
M. Gonalons,80
R. Pereyra,80
K. Vogt,80
F. Orellana,80
Maicon,80
E. Salvio,80
D. Blind,80
S. El Shaarawy,80
M. Antonio,80
Iago Falqué,80
S. Rondón,80
Daniel Carriço,80
M. Schmelzer,80
J. McCarthy,80
A. Dzagoev,80
Ganso,80
F. Smolov,80
D. Welbeck,80
Luiz Gustavo,80
Mikel San José,80
M. Darmian,80
R. Thomas,80
I. Traoré,80
Sidnei,80
J. Lens,80
Eder,80
Kiko Casilla,80
Nacho Monreal,80
S. Bender,80
M. Díaz,80
A. Fernández,80
M. Berg,80
I. Piatti,80
V. Birsa,80
Pedro León,80
K. Boateng,80
Marcano,80
H. Moreno,80
S. Romero,80
A. Candreva,80
D. Criscito,80
D. Wass,80
Coke,80
A. Guardado,80
J. dos Santos,80
E. Lamela,80
R. Bertrand,80
Renato Augusto,80
Jardel,80
V. Denisov,80
D. Basta,80
G. Cabral,80
G. Paletta,80
T. Walcott,80
L. Fabiański,80
B. Foster,80
V. Ibišević,80
K. El Ahmadi,80
S. Kalou,80
Manuel Fernandes,80
A. Granqvist,80
L. Podolski,80
Javi Fuego,80
F. Belluschi,80
A. Mirante,80
V. Enyeama,80
F. Marchetti,80
Kaká,80
J. Milner,80
A. Hutchinson,80
M. Topal,80
J. Mathieu,80
C. Kameni,80
P. Jagielka,80
P. Evra,80
J. Defoe,80
Júlio César,80
M. Carrick,80
M. Almirón,79
Oyarzabal,79
Soares,79
M. Campaña,79
F. Andone,79
M. Acuña,79
V. Lindelöf,79
Y. Cardinale,79
C. Lenglet,79
M. Dahoud,79
D. Zappacosta,79
N. Maksimović,79
E. Rigoni,79
I. Marcone,79
L. López,79
A. Correa,79
K. Coman,79
S. Kritsyuk,79
W. Cyprien,79
Diego Llorente,79
Anderson Talisca,79
L. Dendoncker,79
M. Meyer,79
Gayà,79
S. Boufal,79
M. Benassi,79
N. Tagliafico,79
E. Hysaj,79
João Cancelo,79
A. Romagnoli,79
Óliver Torres,79
H. Çalhanoğlu,79
Gerard Moreno,79
B. Traoré,79
L. Vietto,79
L. Paredes,79
M. Arnold,79
S. Gnabry,79
L. Shaw,79
E. Višća,79
Bernard,79
D. Baselli,79
A. Milik,79
Bernat,79
W. Orban,79
Rubén Pardo,79
K. Zouma,79
C. Kramer,79
S. Vrsaljko,79
Zé Luís,79
J. Stones,79
J. Vestergaard,79
Fernando,79
M. Depay,79
F. Fernández,79
S. Sané,79
N. Sansone,79
P. Ntep,79
F. Ghoulam,79
J. Murillo,79
Gabriel Paulista,79
V. Darida,79
Cédric,79
L. Tonelli,79
R. Saponara,79
D. Sidibé,79
Y. Konoplyanka,79
L. Digne,79
Paco Alcácer,79
Vicente Gómez,79
E. Çolak,79
N. Jørgensen,79
Oriol Romeu,79
Nolito,79
B. Martins Indi,79
M. Gabbiadini,79
P. Herrmann,79
F. Lejeune,79
J. Bruma,79
P. Jones,79
Adrián,79
Keko,79
H. Pérez,79
Jaume Costa,79
A. Areola,79
Escudero,79
Y. Mallı,79
A. Kokorin,79
S. Corchia,79
J. Kucka,79
J. Zoet,79
A. Ljajić,79
Canales,79
M. Hitz,79
Balenziaga,79
W. Bony,79
B. Hübner,79
F. Coquelin,79
Jonathas,79
G. Bou,79
V. Babacan,79
S. Doumbia,79
C. Noboa,79
I. Smolnikov,79
Maurício,79
M. Fabián,79
R. Zieler,79
D. Drinkwater,79
A. Kolarov,79
Mariano,79
S. Feghouli,79
K. Papadopoulos,79
S. Wagner,79
P. Piatti,79
C. Yacob,79
A. Ogbonna,79
Roberto,79
N. Amrabat,79
W. Vainqueur,79
Marcelo,79
Antunes,79
Fabricio,79
S. Prödl,79
S. Tasci,79
F. Johnson,79
Bojan,79
M. Fellaini,79
P. Wernbloom,79
A. Ayew,79
D. Ospina,79
W. Reid,79
Lucas Leiva,79
Z. Junuzović,79
C. Ansaldi,79
V. Moses,79
D. Zurutuza,79
D. Valeri,79
José Fonte,79
N. Şahin,79
Gervinho,79
G. dos Santos,79
R. Shawcross,79
J. Evans,79
S. Sirigu,79
A. Gyan,79
Y. Cabaye,79
Danilo,79
N. Pareja,79
S. Radu,79
D. Abraham,79
M. Krohn-Dehli,79
Jurado,79
B. Gomis,79
H. Herrera,79
Luisão,79
V. Berezutskiy,79
I. Akinfeev,79
I. Denisov,79
A. Samedov,79
Xabi Prieto,79
Negredo,79
A. Pyatov,79
P. Zabaleta,79
G. Ochoa,79
W. Caballero,79
Vágner Love,79
M. Vorm,79
D. Baier,79
Gomes,79
R. Adler,79
S. Sorrentino,79
T. Rosický,79
A. Pirlo,79
G. Barry,79
E. Belözoğlu,79
A. Lunev,78
André Silva,78
K. Dolberg,78
Yeray,78
C. Pulisic,78
L. Tousart,78
A. Onana,78
V. Koziello,78
N. Radoja,78
V. Rongier,78
O. Al Soma,78
F. Cervi,78
Jorge Meré,78
Jony,78
R. Karsdorp,78
Dani Ceballos,78
H. Lozano,78
Raúl,78
Pau López,78
M. Vecino,78
A. Sanabria,78
R. Battaglia,78
J. Izquierdo,78
T. Bongonda,78
Rúben Semedo,78
Rafa,78
Morales,78
Capa,78
M. Sportiello,78
D. Zapata,78
D. Benedetto,78
A. Ruiz,78
D. Laxalt,78
D. Origi,78
N. Stark,78
Hernâni,78
Iuri Medeiros,78
Bruno Fernandes,78
R. Gagliardini,78
Pedro Santos,78
Carles Gil,78
Paulo Oliveira,78
A. Szymanowski,78
Bruno Peres,78
K. Wimmer,78
Tiago Volpi,78
F. Kostić,78
A. Samaris,78
A. Doucouré,78
G. Pizarro,78
J. Martínez,78
M. Ginter,78
J. Lingard,78
M. Weiser,78
D. Cheryshev,78
Bigas,78
D. Heintz,78
B. Davies,78
L. Castro,78
J. Ward-Prowse,78
T. Inui,78
M. Sabitzer,78
B. Mendy,78
R. Jiménez,78
E. Sala,78
B. Reynet,78
M. Niang,78
K. Fortounis,78
Pozuelo,78
Joãozinho,78
P. Kadeřábek,78
T. Vilhena,78
M. Elyounoussi,78
L. Bittencourt,78
Sergi Darder,78
D. Demme,78
V. Eysseric,78
G. Ramírez,78
David López,78
C. Tătăruşanu,78
M. Badelj,78
A. Mandi,78
Ismaily,78
A. Marchesín,78
L. Teodorczyk,78
Marafona,78
B. Lecomte,78
N. Chadli,78
S. Rode,78
M. van Ginkel,78
André André,78
J. Guidetti,78
Danilo,78
V. Aboubakar,78
C. Aránguiz,78
Raúl Navas,78
K. Mbodj,78
Rodrigo,78
R. Funes Mori,78
M. Höger,78
N. Lodeiro,78
D. Caligiuri,78
S. Verdi,78
E. Pérez,78
T. Gutiérrez,78
C. Austin,78
E. Berisha,78
G. Gillet,78
L. López,78
A. Townsend,78
D. Heintz,78
Pozuelo,78
T. Vermaelen,78
I. Abate,78
J. Briand,78
M. Sabitzer,78
Capa,78
J. Toulalan,78
Bruno Alves,78
T. Howard,78
M. Barovero,78
C. Aránguiz,78
V. Rongier,78
Joaquín,78
J. Lingard,78
S. Bocchetti,78
A. Marchesín,78
Muniain,78
Danilo,78
C. Gentner,78
O. Al Soma,78
F. Gago,78
Bigas,78
D. Origi,78
D. Cheryshev,78
R. van Persie,78
M. Layún,78
V. Eysseric,78
Sergi Darder,78
D. Laxalt,78
Tiago Volpi,78
Morales,78
V. Aboubakar,78
A. Szymanowski,78
N. Nkoulou,78
S. Ignashevich,78
Ismaily,78
Pau López,78
Rafinha,78
L. Tousart,78
J. Terry,78
P. Skjelbred,78
I. Afellay,78
N. Lombaerts,78
Granero,78
J. Baumgartlinger,78
R. Palacio,78
Miguel Lopes,78
Susaeta,78
Hilton,78
Y. M'Vila,78
Pedro Santos,78
Hernâni,78
V. Koziello,78
J. Guidetti,78
Borja Bastón,78
J. Farfán,78
J. Montero,78
A. Mandi,78
K. Mbodj,78
M. Badelj,78
R. Battaglia,78
M. Ruben,78
M. Borriello,78
Rodrigo,78
R. Gagliardini,78
Eliseu,78
F. Kostić,78
A. Onana,78
Mosquera,78
Rochina,78
André André,78
Rúben Semedo,78
B. Džemaili,78
K. Fortounis,78
S. Ryzhikov,78
A. N'Diaye,78
B. Reynet,78
Y. Gourcuff,78
K. Asamoah,78
R. Bobadilla,78
R. Hamouma,78
C. Pulisic,78
M. Fernández,78
K. Honda,78
Raúl Navas,78
A. Dzyuba,78
B. Yılmaz,78
J. Holebas,78
K. Casteels,78
Javi García,78
D. Caligiuri,78
Fontàs,78
K. Vermeer,78
Jony,78
C. Tosun,78
M. Höger,78
S. Dann,78
Rafa,78
Y. Bolasie,78
Bruno Fernandes,78
D. Glushakov,78
Juanfran,78
K. Trippier,78
J. Cork,78
Guilherme,78
A. Ramos,78
M. Bradley,78
Souza,78
T. Mangani,78
N. Stark,78
Rafael,78
Carles Gil,78
Adriano,78
B. Mee,78
M. Ginter,78
Paulo Oliveira,78
C. Dempsey,78
R. Funes Mori,78
M. Weiser,78
H. Briceldo,77
B. Moukandjo,77
Juanmi,77
L. Kalinić,77
N. Subotić,77
N. Blandi,77
P. De Blasis,77
M. Phillips,77
M. Braithwaite,77
A. Lafont,77
D. Reyes,77
Iván Ramis,77
V. Behrami,77
G. Hoarau,77
T. Barnetta,77
E. Choupo-Moting,77
Jesé,77
J. Pinola,77
Luís Hernández,77
Jonny,77
B. Dočkal,77
Raphaelito Anjos,77
M. Carcela-González,77
L. Pavoletti,77
D. Bonera,77
Marcelo,77
Dalbert,77
G. McAuley,77
A. Halilović,77
N. Amiri,77
I. Popov,77
N. Burdisso,77
W. Hoolahan,77
Sidney Pessinho,77
A. Potuk,77
F. Pogba,77
M. Andújar,77
D. Boyko,77
A. Carrillo,77
M. Andreolli,77
Bruno,77
O. Duarte,77
Rúben Neves,77
Jozabed,77
P. Pérez,77
Gazzolisco,77
Pacheco,77
M. Gamonales,77
Ronaldo Esler,77
Vitor Hugo,77
T. Arslan,77
J. Veretout,77
D. Pabón,77
Juan Jesus,77
E. Durm,77
G. Imbula,77
Luis Alberto,77
M. Risse,77
Luís Neto,77
B. Ruíz,77
Jordi Amat,77
S. Kapino,77
J. Ďurica,77
B. Stambouli,77
F. Armani,77
C. Kaboré,77
A. Rukavina,77
P. Kimpembe,77
Sergio León,77
M. Elneny,77
D. Torres,77
S. Okazaki,77
C. Jallet,77
Y. Salibur,77
N. Redmond,77
A. Song,77
Andreas Pereira,77
Castán,77
K. Huntelaar,77
T. Partey,77
Mário Rui,77
André Pinto,77
L. Rémy,77
Badou Ndiaye,77
O. Kıvrak,77
A. Bertolacci,77
A. Belenov,77
A. Živković,77
M. Lemina,77
Iraizoz,77
D. Da Silva,77
D. Benaglio,77
T. Rincón,77
Y. Ōsako,77
L. Sané,77
Gil,77
J. King,77
Bastos,77
J. Quintero,77
A. Meier,77
G. Nkoudou,77
Montoya,77
L. Dalsaro,77
K. Källström,77
T. Vaclík,77
M. Politano,77
M. Zárate,77
G. İnler,77
M. Albrighton,77
A. Gray,77
Marçal,77
M. Ryan,77
A. Gamberini,77
Yoel,77
S. Widmer,77
J. Aquino,77
S. Gentiletti,77
C. Sánchez,77
M. Sissoko,77
G. Defrel,77
T. Krul,77
R. Martínez,77
J. Geis,77
P. Verhaegh,77
B. Jones,77
H. Nordtveit,77
R. Steffen,77
Bruno Varela,77
M. Hasebe,77
J. Córdoba,77
L. Schøne,77
R. Rosales,77
N. De Préville,77
Marcos Llorente,77
Y. Chará,77
S. Torrico,77
Wallace,77
J. Toornstra,77
Pedro Obiang,77
A. Boruc,77
V. Chiricheş,77
S. Hanni,77
C. Théréau,77
D. Rolán,77
Pedro Henrique,77
Bruno Gaspar,77
Cristian Tello,77
Formosandrinho,77
S. Haller,77
Claudio Coíntra,77
M. Uth,77
F. Sørensen,77
J. Van Damme,77
L. Britton,77
I. Khune,77
V. Grifo,77
T. Cairney,77
Sandro,77
F. Delph,77
J. Veltman,77
A. Dragović,77
D. Pröpper,77
J. Pickford,77
L. Cattermole,77
Luisinho,77
Vitinho,77
Z. Feddal,77
Vallejo,77
Rafael Carioca,77
David García,77
Javi Varas,77
J. Allen,77
A. Younes,77
L. Hernández,77
A. Mooy,77
Campaña,77
Vieirinha,77
Wendell,77
Y. Sabaly,77
R. Weidenfeller,77
J. Hofmann,77
Timor,77
H. Arter,77
M. Lemos,77
Louri Beretta,77
F. Caicedo,77
S. Sturaro,77
Pablo Fornals,77
Sergi Gómez,77
P. Jansson,77
A. Berezutskiy,77
L. Pellegrini,77
A. Masiello,77
M. Ekici,77
A. Nyom,77
F. Roncaglia,77
P. Hidalgado,77
J. De Guzmán,77
M. Gradel,77
M. Debuchy,77
C. Candero,77
S. Terodde,77
Recio,77
R. Zobnin,77
Fábio Coentrão,77
J. Campbell,77
C. Stuani,77
A. Veznera,77
J. Willems,77
A. Lennon,77
T. Lagardo,77
F. Forster,77
S. Okaka,77
Aritz Elustondo,77
Ricardo Ferreira,77
W. Morgan,77
J. Lukaku,77
M. Philipp,77
C. Davies,77
C. Kouyaté,77
N. Pejčinović,77
M. Lang,77
Álvaro,77
J. Leca,77
A. Abdennour,77
Charles,77
E. Hernández,77
Mexer,77
F. Magnanelli,77
M. Kranevitter,77
M. Hinteregger,77
S. Azmoun,77
S. Driussi,77
C. Sánchez,77
W. Hoedt,77
P. Hetemaj,77
A. Januzaj,77
K. Tete,77
Diogo Jota,77
Bruno César,77
M. Diouf,77
M. Valdifiori,77
Rafael Tolói,77
B. Oczipka,77
Y. Sankharé,77
S. Bell,77
M. Marega,77
B. André,77
A. Baba,77
Rony Lopes,77
S. Davis,77
A. Diawara,77
Everticinho,77
H. Saivet,77
Yuri,77
J. Gouweleeuw,77
T. Kongolo,77
I. Radovanović,77
Sergio,77
Rui Fonte,77
M. Cáceres,77
L. Milivojević,77
D. Latza,77
S. Arias,77
O. Ndidi,77
O. Trejo,77
V. Janssen,77
G. Clichy,77
C. Ruvios,77
Otávio,77
J. Shelvey,77
G. Kondogbia,77
R. Vormer,77
L. Fer,77
J. Maidana,77
R. Funes Mori,77
S. Cook,77
A. Chedjou,77
F. Higuaín,77
Sergio Álvarez,77
L. Holtby,77
D. Janmaat,77
O. Alonso,77
Ari,77
P. Schick,77
A. Schöpf,77
J. Clasie,77
J. Ménez,77
S. Sinclair,77
L. Krejčí,77
H. Maguire,77
G. Escalante,77
R. Alessandrini,77
S. Long,76
S. Berahino,76
Agirretxe,76
M. Harnik,76
K. Grosicki,76
A. Finnbogason,76
G. Pereiro,76
Aarón Martín,76
G. Morenda,76
J. Vossen,76
B. Cesar,76
D. Tarasov,76
Ricardo Horta,76
C. Davilo,76
R. Ahumera,76
Alan Patrick,76
Portu,76
Palhinha,76
V. Demirel,76
Y. Lodygin,76
L. Bailey,76
J. Olsson,76
M. Lehmann,76
L. Koné,76
J. Korb,76
D. Ings,76
L. Rupp,76
T. Strobl,76
M. Rog,76
F. Fabra,76
M. Lestienne,76
F. Kessié,76
M. Alustiza,76
Manquillo,76
N. Petersen,76
R. Yanbaev,76
R. Rey,76
T. Cleverley,76
D. Fletcher,76
J. Jankto,76
C. Atsu,76
A. Dembal,76
Javi López,76
S. Vokes,76
P. Gulácsi,76
A. Chahechouhe,76
Xandão,76
E. Capoue,76
G. Sertic,76
M. Pašalić,76
I. Traoré,76
B. Fornaroli,76
I. Ordets,76
D. Santon,76
Jairo,76
Diego Carlos,76
C. Riveros,76
P. Groß,76
S. Kießling,76
G. Lux,76
M. Torres,76
M. Noble,76
Hélder Costa,76
Emerson,76
G. Cameron,76
P. Djilobodji,76
C. Fuchs,76
B. Ramselaar,76
F. Frei,76
A. Candales,76
Renan Bressan,76
A. Kasaev,76
N. Al Abed,76
David Seijalbo,76
Jesús Gámez,76
E. Polański,76
R. Berić,76
L. Ponzio,76
M. Yanga-M'Biwa,76
T. Jantschke,76
Wilson Eduardo,76
A. Domínguez,76
M. Destro,76
Roberto Torres,76
M. Bešić,76
M. Caldara,76
Alexis,76
Diego Castro,76
N. Moisander,76
A. Mounier,76
Gálvez,76
E. Puch,76
L. Ocampos,76
S. Cristóforo,76
J. Rodriguez,76
J. Roussillon,76
S. Berghuis,76
A. Saint-Maximin,76
Antônio Chiamuloira,76
Víctor Vázquez,76
K. Toko-Ekambi,76
Y. Ayoub,76
Y. Zhirkov,76
A. Ekdal,76
João Pereira,76
L. Baal,76
R. Ábila,76
P. Diop,76
M. Díaz,76
S. Tshabalala,76
L. Rossettini,76
T. Chandler,76
F. Viviani,76
F. Krovinović,76
N. Nikolić,76
J. Kurtić,76
A. Mejía,76
Gil Dias,76
J. Locadia,76
C. N'Doye,76
Abraham,76
T. Fosu-Mensah,76
B. van Leer,76
S. Meïté,76
O. Peralta,76
A. Raggi,76
L. De Silvestri,76
Ronaldo Cabrais,76
A. Paloschi,76
J. Damm,76
Guilherme,76
R. Sambueza,76
G. Mercado,76
S. de Jong,76
Zheng Zhi,76
G. Kakuta,76
Eltildo Correia,76
Gabriel,76
M. Kerzhakov,76
F. Borini,76
J. van der Heijden,76
C. Clark,76
A. Musa,76
J. Boëtius,76
Everton Andrão,76
L. Cigarini,76
R. Meggiorini,76
Michel Macedo,76
J. Collins,76
Serey Dié,76
S. Proto,76
A. Mehmedi,76
C. Erkin,76
Éder,76
Y. Benzia,76
A. Rolis,76
Beto,76
C. Pantilimon,76
G. Lapadula,76
Dênildo Stein,76
S. Padt,76
M. Sulejmani,76
M. Matip,76
L. Nguyen,76
Y. Mutō,76
J. Altidore,76
L. de Jong,76
A. Trebel,76
M. Coco,76
K. Babacar,76
Renato Sanches,76
M. Caruzzo,76
M. Dabbur,76
Rosberto Dourado,76
M. Izco,76
P. Aguilar,76
S. Mounié,76
D. Brosinski,76
Roger,76
Dyego Sousa,76
N. Dirar,76
J. Dátolo,76
S. Larsson,76
B. Ketkeophomphone,76
Andrés Fernández,76
P. Tau,76
A. Matri,76
T. Jedvaj,76
Bóveda,76
F. Lustenberger,76
J. Ayew,76
M. Storari,76
L. Diony,76
E. Codesto,76
Riesgo,76
L. Andersen,76
A. Golovin,76
Laure Santeiro,76
Herrerín,76
G. van der Wiel,76
F. Mussis,76
J. Błaszczykowski,76
L. Deaux,76
J. Vuković,76
E. Bičakčić,76
L. Spinazzola,76
A. Knockaert,76
P. Pekarík,76
E. Valencia,76
Koo Ja Cheol,76
G. Kashia,76
R. Vlaar,76
S. Kums,76
Fábio Martins,76
E. Balanta,76
M. Schmiedebach,76
G. Peruzzi,76
Maicón,76
N. Castillo,76
L. Öztunali,76
M. Jojić,76
Santi Mina,76
G. Pazzini,76
W. Mansila,76
M. Boselli,76
M. Pereyra,76
V. Stocker,76
J. Añor,76
L. Antonelli,76
K. Théophile-Catherine,76
B. Embolo,76
A. Letellier,76
A. Hahn,76
A. Duncan,76
M. Stendera,76
A. Ranocchia,76
M. Isla,76
Josué Sá,76
Thiago Maia,76
B. Espinosa,76
I. Sosa,76
N. Tomović,76
R. Brady,76
L. Marković,76
P. Aguilar,76
N. Viergever,76
R. Civelli,76
S. De Maio,76
S. Brown,76
D. Cvitanich,76
J. Morrison,76
A. Sulu,76
R. Saïss,76
Maurício,76
Gabri Prestão,76
Carlos Soler,76
Serantes,76
E. Mas,76
Carlos Mané,76
Fred Aníbão,76
O. Romero,76
Nelsildo Reis,76
Laguardia,76
Y. Poulsen,76
A. Cresswell,76
O. Tufan,76
M. Pazdan,76
Camarasa,76
D. van de Beek,76
P. Hurtado,76
J. Martin,76
O. Murillo,76
Aythami Artiles,76
E. Gutiérrez,76
F. Ferreyra,76
Adrián González,76
M. Mavraj,76
A. Hunt,76
F. Niederlechner,76
S. Denswil,76
A. Souquet,76
S. İnan,76
A. Delort,76
J. Gnagnon,76
D. Gastaldello,76
